DDIR_Number,Division,County,City,Route_Direction,Route_Type,Route_Number,Ramp_Int,Road_Discript,MP,MP_Start,MP_End,Lat,Long_,Lat_Start,Lat_end,Long_Start,Long_end,Event_Year,Failure_Event,Weather,Front_Back,Repair_Cost,Repairs,Repair_Type,InspectionDate,Failure_Discript,Severity,Failure_Type,Shallow_Deep,Addition_Comment,FHWA _Disaster_No
030-01-25-1,13 Dutton,DeKalb,Guntersville,EB,SR,40,,,17.3,17.3,17.3,34.604802,-85.718039,,,,,2015,December Rain,Rain,Front,98788.78,"Unclassified Excavation, Rock Butress, Filter Fabric, Traffic Control, Erosion Control, Mobilization ",E/P,12/29/2015,Slide Front Slope,Traffic Control,Erosion,Shallow,,AL2016-1
030-01-36-1,13 Dutton,Jackson,Guntersville,NB,SR,117,,,24.5,24.5,24.5,34.759618,-85.697805,,,,,2015,December Rain,Rain,Front,93569.36,"Unclassified Excavation, Rock Butress, Filter Fabric, Traffic Control, Erosion Control, Mobilization ",P,1/12/2016,Slide Front Slope,Traffic Control,"Translational, Erosion",Shallow,Ponding at toe,AL2016-1
030-01-36-2,13 Dutton,Jackson,Guntersville,SB,SR,117,,,28.3,28.31,28.31,34.805587,-85.730203,,,,,2015,December Rain,Rain,Front,75592.74,"Unclassified Excavation, Rock Butress, Filter Fabric, 18'' Side Drain Pipe Class 3 RC, Traffic Control, Erosion Control, Mobilization, 18'' Side Drain Pipe End Treatments",P,1/12/2016,Slide Front Slope,"Traffic Control, Shoulder Closed",Translational,Shallow,Ponding at toe,AL2016-1
030-01-36-3,13 Dutton,Jackson,Guntersville,ALL,US,72,,,136.82,136.82,136.82,34.646228,-86.036523,,,,,2015,December Rain,Rain,Front,97947.8,"Unclassified Excavation, Rock Butress, Filter Fabric, Traffic Control, Erosion Control, Mobilization ",P,1/12/2016,Slide Front Slope,Traffic Control,Translational,Shallow,Ponding at toe,AL2016-1
030-01-22-1,14 Joppa,Cullman,Guntersville,NB,SR,91,,,32.929,32.929,32.929,34.123535,-86.668173,,,,,2015,December Rain,Rain,Front,8278.86,,E,1/12/2016,Shoulder Failure,Traffic Control,Rotational,Shallow,,AL2016-1
030-01-22-2,14 Joppa,Cullman,Guntersville,WB,US,278,,AL 74/US 278 MP 92.00,92,92,92,34.1745,-86.627291,,,,,2015,December Rain,Rain,Front,69314,"Unclassified Excavation, Rock Butress, Filter Fabric, Traffic Control, Erosion Control, Mobilization ",P,1/12/2016,Shoulder Failure,Traffic Control,Translational,Shallow,,AL2016-1
030-01-10-2,15 Gadsden,Cherokee,Guntersville,WB,SR,68,,,27.8,27,28,34.2141455,-85.7664285,34.220119,34.208172,-85.767531,-85.765326,2015,December Rain,Rain,Front,263000,"Mobilization, Erosion Control, Slope Stabilization, Rip Rap, Cleaning and Grubbing, Excavation and Hauling, Grading of Slopes, Seeding and Mulching",E/P,1/12/2016,"Slide has undermined AL 68 (Westbound Direction Closed and Detoured), landslide at guardrail ","Lane Closed, Traffic Control",Rotational,Shallow,"Traffic control, replace guarddrail, repave, sand and rock",AL2016-1
030-01-28-1,15 Gadsden,Etowah,Guntersville,SB,US,431,,,,271,272,34.077155,-86.1187055,34.071659,34.082651,-86.124086,-86.113325,2015,December Rain,Rain,Back,44266.96,,E,1/12/2016,Rock slide US 431 Attalla,Road Closed,Rock Fall,Shallow,Traffic Control ,AL2016-1
030-01-28-2,15 Gadsden,Etowah,Guntersville,ALL,US,411,,,223.5,223.5,223.5,34.063651,-85.922645,,,,,2015,December Rain,Rain,Back,180990,"Unclassified Excavation, Rock Butress, Filter Fabric, Traffic Control, Erosion Control, Mobilization ",P,1/12/2016,Three Slides on Backslopes,Traffic Control,"Translational, Erosion",Shallow,,AL2016-1
030-02-30-1,22 Moulton,Franklin,Tuscumbia,WB,SR,24,,,26.5,26.5,27,34.487808,-87.729479,,,,,2015,December Rain,Rain,Back,14084.62,,E,1/14/2016,Back Slope Failure,Traffic Control,"Translational, Erosion",Shallow,,AL2016-1
030-02-30-2,22 Moulton,Franklin,Tuscumbia,SB,SR,17,,,300,300,300.01,34.377279,-86.760092,,,,,2015,December Rain,Rain,Front,181370.74,"Rip Rap, Crush Aggregate",P,1/14/2016,Front Slope Failure (slide) outslide shoulder on south bound travel lane.  Area 55' W X 190' L,No impact,Unknown,Shallow,Pictures difficult ot interpert,AL2016-1
030-02-52-1,24 Morgan,Morgan,Tuscumbia,NB,SR,67,,,39.25,39.25,39.25,34.561699,-86.982813,,,,,2015,December Rain,Rain,Front,1048150,"Soil Nail Wall, Unclassified Excavation, Aggregate Surfacing, Mobilization, Filter Blanket, Geotextile, Topsoil, Seeding, Mulching, Temporary Mulch, Temp ALDOT #1 Stone, Inlet Protection Type 3 or 4, Wattles, Traffic Control",P,1/14/2016,"Slope Failure, water seeping onto road, CSX RR. Over Central Ave.",Traffic Control,Translational,Shallow,,AL2016-1
030-03-5-1,32 Oneonta,Blount,Birmingham,NB,SR,3,,,306.2,306.2,306.3,33.922607,-86.809241,,,,,2015,December Rain,Rain,Back,33397,"Rip Rap, Geotextile Filter Fabric ",E,1/14/2016,"break on backslope, slide area",No impact,Rotational,Shallow,,AL2016-1
030-04-8-2,42 Anniston,Calhoun,Alex City,SB,SR,77,,,90.5,90.5,90.5,33.785837,-86.035925,,,,,2015,December Rain,Rain,Back,59470.6,"Removal of Material, Rip Rap, Filter Blanket, Concrete Flume (Slope Paving)",E/P,1/26/2016,Backslope failure,No impact,Translational,Shallow,,AL2016-1
030-10-64-3,58,Walker,Fayette,,SR,69,,,214,213.95,214.05,33.8992055,-87.153623,33.898649,33.899762,-87.154196,-87.15305,2015,December Rain,Rain,Front,67030.77,Rip Rap,E/P,1/26/2016,slide area,Lane Closed,"Translational, Erosion",Shallow,Ponding at toe,AL2016-1
030-10-64-4,59,Walker,Fayette,,SR,5,,,186,186,186,33.971908,-87.459075,,,,,2015,December Rain,Rain,Front,109148.89,Rip Rap,E/P,1/26/2016,slope failure,No impact,Erosion,Shallow,,AL2016-1
030-10-47-8,59,Marion,Fayette,WB,I,22,,,16.9,16.9,16.9,34.071822,-87.976292,,,,,2015,December Rain,Rain,Back,246803.61,Rip Rap,P,1/26/2016,slope failure,No impact,Translational,Shallow,,AL2016-1
030-10-47-5,59,Marion,Fayette,WB,I,22,,,17.2,17.15,17.25,34.071415,-87.971244,,,,,2015,December Rain,Rain,Back,225994.8,Rip Rap,P,1/26/2016,Back slope slope failure (slide),No impact,Translational,Shallow,Ponding at toe,AL2016-1
030-10-47-7,59,Marion,Fayette,,SR,172,,,16.1,16,16.1,34.274799,-87.8197975,34.275167,34.274431,-87.820547,-87.819048,2015,December Rain,Rain,Front,17774.05,Rip Rap,E,1/25/2016,Front slope failure (slide),No impact,Erosion,Shallow,,AL2016-1
030-06-6-2,62 Union Springs,Bullock,,,US,82,,SR 6 (US 82) MP 182,182,182,182,32.127873,-85.956106,,,,,2015,December Rain,Rain,Front,1687700,"Unclassified Excavation, Borrow Material, Asphalt Paving, Seeding and Mulching, Netting, Emergency Repair and Equipmtent, Traffic Control, Pavement",E/P,1/8/2016,Front slope failure,Traffic Control,Erosion,Shallow,,AL2016-1
030-06-44-2,62 Union Springs,Macon,,SB,I,85,,,,41,41,32.479032,-85.654065,,,,,2015,December Rain,Rain,Back,1419000,"Debris Removal, Unclassified, Borrow, Erosion Control, Traffic Control, Rock Buttress, Clearing and Grubbing",P,1/8/2016,Back slope failure,Traffic Control,Rotational,Shallow,,AL2016-1
030-06-44-4,62 Union Springs,Macon,,SB,I,85,,,,32.5,32.5,32.444714,-85.790171,,,,,2015,December Rain,Rain,Front,105622,"Unclassified, Borrow, Minor Structure Concrete Prepair, Erosion Control, Traffic Control, Site Access",P,1/8/2016,Front slope failure & culvert wing damage,Traffic Control,Translational,Shallow,Stream nearby,AL2016-1
030-06-44-5,62 Union Springs,Macon,,NB,I,85,,,,38.7,38.7,32.474898,-85.685004,,,,,2015,December Rain,Rain,Front,305800,"Unclassified Excavation, Rock Buttress, Borrow, Erosion, Site Access",P,1/8/2016,Slide,No impact,"Translational, Erosion",Shallow,,AL2016-1
030-06-44-8,62 Union Springs,Macon,,,US,80,,,183.5,183.5,183.5,32.456373,-85.542667,,,,,2015,December Rain,Rain,Front,7230.91,Erosion Control,P,3/3/2016,Slope Failure,No impact,Rotational,Shallow,,AL2016-1
030-06-44-11,62 Union Springs,Macon,,SB,I,85,,,37.8,37.8,,32.470504,-85.699607,,,,,2015,December Rain,Rain,Front,451000,"Unclassified Excavation, Rip Rap, Traffic Control, Erosion Control, Guardrail Removal/Install",P,3/1/2016,Slope Failure,Traffic Control,Translational,Shallow,,AL2016-1
