Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2005-05-06,,0.0,
2005-05-27,1.0,-0.7619999999999999,-0.7619999999999999
2005-07-12,1.0,-1.0668,-0.30480000000000007
2005-10-26,1.0,-1.6764,-0.6096
2006-01-24,2.0,-0.54864,1.12776
2006-03-29,2.0,1.20396,1.7526000000000002
2006-05-31,1.0,-0.45719999999999994,-1.66116
2006-09-12,1.0,-0.36576,0.09143999999999997
2007-01-17,1.0,0.57912,0.9448799999999998
2007-03-06,1.0,-0.89916,-1.47828
2007-06-12,1.0,-0.7619999999999999,0.13716000000000003
2007-09-11,1.0,-0.4724399999999999,0.28956
2007-12-04,1.0,0.0,0.4724399999999999
2008-03-25,2.0,1.08204,1.08204
2008-06-16,1.0,1.7221199999999999,0.64008
2008-09-15,1.0,1.18872,-0.5333999999999999
2009-02-26,2.0,4.937759999999999,3.7490399999999995
2009-06-09,2.0,9.73836,4.8006
2009-09-22,1.0,8.09244,-1.6459200000000005
2010-08-10,2.0,12.893040000000001,4.800600000000001
2010-11-17,1.0,12.649199999999999,-0.24384000000000133
2011-03-01,2.0,15.71244,3.063240000000001
2011-06-15,2.0,20.07108,4.358639999999999
2011-10-19,1.0,19.674839999999996,-0.3962400000000015
2012-01-24,2.0,23.94204,4.267200000000001
2012-05-01,1.0,23.97252,0.030479999999999462
2012-08-13,1.0,23.0124,-0.9601199999999985
2012-11-26,1.0,23.301959999999998,0.2895599999999991
2013-02-19,2.0,26.548079999999995,3.2461199999999977
2013-05-20,2.0,28.955999999999996,2.40792
2013-08-19,1.0,29.65704,0.7010400000000017
2013-11-18,3.0,35.2806,5.62356
2014-02-19,1.0,32.385,-2.8956000000000026
2014-05-27,2.0,33.51275999999999,1.1277599999999999
2014-08-18,1.0,34.107119999999995,0.5943600000000022
2014-12-01,1.0,32.70504,-1.4020799999999978
2015-03-09,2.0,35.478719999999996,2.773679999999999
2015-06-15,1.0,36.08832,0.6096000000000005
2015-09-14,1.0,34.8234,-1.2649200000000016
2015-12-15,2.0,35.92068,1.0972799999999976
2016-03-14,2.0,40.766999999999996,4.846320000000002
2016-06-13,1.0,40.09644,-0.6705599999999994
2016-09-12,1.0,37.29228,-2.8041600000000013
2016-12-12,1.0,38.19144,0.8991600000000024
2017-03-13,2.0,40.88891999999999,2.697479999999996
2017-06-12,2.0,44.577,3.68808
2017-09-05,1.0,45.09516,0.518160000000005
2017-12-04,1.0,44.79036,-0.30480000000000024
2018-03-05,2.0,48.37176,3.5814000000000004
2018-06-05,2.0,49.682399999999994,1.3106399999999965
2018-09-10,1.0,48.051719999999996,-1.6306800000000008
2018-12-03,2.0,49.11852,1.0668000000000009
2019-03-04,2.0,54.14772,5.029200000000004
2019-06-04,2.0,56.37275999999999,2.225039999999992
2019-09-03,1.0,54.75732,-1.615439999999991
2019-12-11,1.0,55.626,0.8686799999999946
2020-03-16,2.0,58.76544,3.1394400000000036
2020-07-20,2.0,62.30111999999999,3.535679999999994
2021-01-19,1.0,61.29527999999999,-1.005840000000002
