Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2019-03-26,,0.0,
2019-03-28,1.0,-0.19812,-0.19812
2019-04-04,1.0,-0.35052,-0.1524
2019-04-11,1.0,-0.12191999999999999,0.22860000000000003
2019-04-25,3.0,5.882639999999999,6.00456
2019-05-09,1.0,5.715,-0.16763999999999984
2019-05-23,2.0,6.979919999999999,1.2649199999999996
2019-06-05,1.0,6.9646799999999995,-0.015239999999999731
2019-07-09,1.0,6.659879999999999,-0.30480000000000024
2019-08-09,1.0,6.5531999999999995,-0.10667999999999953
2019-09-04,1.0,6.49224,-0.06096000000000033
2019-10-10,1.0,6.87324,0.38100000000000034
2019-11-08,1.0,6.79704,-0.07620000000000006
2019-12-11,1.0,7.33044,0.5334000000000004
2020-01-06,3.0,30.60192,23.27148
2020-02-07,3.0,49.27092,18.668999999999997
