Date,Slip Category,Displacements (mm),Change in Displacement (mm)
2/5/2009,,0,
2/25/2009,1,-5.0292,-5.0292
6/11/2009,1,-4.3434,0.6858
9/23/2009,2,-2.40792,1.93548
1/14/2010,3,5.89788,8.3058
11/18/2010,2,9.15924,3.26136
3/23/2011,2,10.9728,1.81356
6/21/2011,2,12.35964,1.38684
10/20/2011,1,13.09116,0.73152
1/25/2012,1,12.93876,-0.1524
5/3/2012,2,14.478,1.53924
11/27/2012,2,17.64792,3.16992
5/21/2013,2,22.31136,4.66344
5/28/2014,3,31.71444,9.40308
12/2/2014,2,33.78708,2.07264
6/16/2015,1,31.13532,-2.65176
12/16/2015,1,29.73324,-1.40208
6/15/2016,2,33.36036,3.62712
12/13/2016,1,26.60904,-6.75132
6/13/2017,1,22.4028,-4.20624
12/6/2017,2,27.24912,4.84632
6/6/2018,1,27.82824,0.57912
12/4/2018,1,28.31592,0.48768
7/21/2020,3,33.96996,5.65404
1/20/2021,1,30.22092,-3.74904
